상품ID,원본URL,순위,분류,브랜드,상품명,할인율,할인가,총용량(g),단위가격(100g),리뷰수,평균별점
7953666782,https://www.coupang.com/vp/products/7953666782?itemId=21964576838&vendorItemId=89012305492&q=%EA%B3%B0%EA%B3%B0%20%EB%B0%98%EC%B0%AC&searchId=8265d3b1743825&sourceType=search&itemsCount=36&searchRank=43&rank=43,43,반찬,곰곰,"곰곰 남도식 부추 꼬막장 (냉동), 150g, 1개",40.0,5270,150,3513,"1,210",4.43
1600577220,https://www.coupang.com/vp/products/1600577220?itemId=2734079437&vendorItemId=70724184629&q=%EA%B3%B0%EA%B3%B0%20%EB%B0%98%EC%B0%AC&searchId=8265d3b1743825&sourceType=search&itemsCount=36&searchRank=44&rank=44,44,반찬,곰곰,"곰곰 깻잎지무침, 200g, 1개",,4920,200,2460,"7,570",4.41
8386748227,https://www.coupang.com/vp/products/8386748227?itemId=24240406987&vendorItemId=91257447054&q=%EA%B3%B0%EA%B3%B0%20%EB%B0%98%EC%B0%AC&searchId=8265d3b1743825&sourceType=search&itemsCount=36&searchRank=46&rank=46,46,반찬,곰곰,"곰곰 국내산 오이소박이, 1kg, 1개",,13680,1000,1368,"1,119",4.36
5510956098,https://www.coupang.com/vp/products/5510956098?itemId=24935762565&vendorItemId=91941848569&q=%EA%B3%B0%EA%B3%B0%20%EB%B0%98%EC%B0%AC&searchId=8265d3b1743825&sourceType=search&itemsCount=36&searchRank=47&rank=47,47,반찬,곰곰,"곰곰 묵은지, 1.5kg, 1개",16.0,12990,1500,866,"14,900",4.49
8121211085,https://www.coupang.com/vp/products/8121211085?itemId=23036524690&vendorItemId=90070261529&q=%EA%B3%B0%EA%B3%B0%20%EB%B0%98%EC%B0%AC&searchId=8265d3b1743825&sourceType=search&itemsCount=36&searchRank=48&rank=48,48,반찬,곰곰,"곰곰 무말랭이, 1.2kg, 1개",20.0,11970,1197,1000,"1,891",4.68
1332922743,https://www.coupang.com/vp/products/1332922743?itemId=2357759192&vendorItemId=70354192192&q=%EA%B3%B0%EA%B3%B0%20%EB%B0%98%EC%B0%AC&searchId=8265d3b1743825&sourceType=search&itemsCount=36&searchRank=49&rank=49,49,반찬,곰곰,"곰곰 연근조림, 1kg, 1개",,6290,998,630,"9,471",4.32
6858693526,https://www.coupang.com/vp/products/6858693526?itemId=16366898267&vendorItemId=83558452967&q=%EA%B3%B0%EA%B3%B0%20%EB%B0%98%EC%B0%AC&searchId=8265d3b1743825&sourceType=search&itemsCount=36&searchRank=57&rank=57,57,반찬,곰곰,"곰곰 마늘쫑무침, 500g, 1팩",,7060,501,1410,"2,503",4.58
7563388457,https://www.coupang.com/vp/products/7563388457?itemId=19931050103&vendorItemId=87030591205&q=%EA%B3%B0%EA%B3%B0%20%EB%B0%98%EC%B0%AC&searchId=8265d3b1743825&sourceType=search&itemsCount=36&searchRank=58&rank=58,58,반찬,곰곰,"곰곰 궁채 장아찌, 300g, 1개",,3600,300,1200,"1,226",4.58
293454799,https://www.coupang.com/vp/products/293454799?itemId=926515300&vendorItemId=5302344243&q=%EA%B3%B0%EA%B3%B0%20%EB%B0%98%EC%B0%AC&searchId=8265d3b1743825&sourceType=search&itemsCount=36&searchRank=61&rank=61,61,반찬,곰곰,"곰곰 간편한 잡채 (냉동), 275g, 1개",60.0,4780,275,1738,"4,714",4.61
7827692479,https://www.coupang.com/vp/products/7827692479?itemId=21281043475&vendorItemId=88341146620&q=%EA%B3%B0%EA%B3%B0%20%EB%B0%98%EC%B0%AC&searchId=8265d3b1743825&sourceType=search&itemsCount=36&searchRank=62&rank=62,62,반찬,곰곰,곰곰 녹차 명란맛 도시락김,22.0,8300,96,8650,198,4.66
1271810172,https://www.coupang.com/vp/products/1271810172?itemId=2276602199&vendorItemId=70273767107&q=%EA%B3%B0%EA%B3%B0%20%EB%B0%98%EC%B0%AC&searchId=8265d3b1743825&sourceType=search&itemsCount=36&searchRank=65&rank=65,65,반찬,곰곰,"곰곰 온가족 알찬 치킨너겟, 850g, 1개",,8150,850,959,"45,053",4.76
8217671736,https://www.coupang.com/vp/products/8217671736?itemId=24017874076&vendorItemId=91038465639&q=%EA%B3%B0%EA%B3%B0%20%EB%B0%98%EC%B0%AC&searchId=8265d3b1743825&sourceType=search&itemsCount=36&searchRank=68&rank=68,68,반찬,곰곰,"곰곰 무말랭이, 200g, 1개",,4160,200,2080,"1,909",4.58
8902697167,https://www.coupang.com/vp/products/8902697167?itemId=25997414611&vendorItemId=3810688157&q=%EA%B3%B0%EA%B3%B0%20%EB%B0%98%EC%B0%AC&searchId=2baeeff12278220&sourceType=search&itemsCount=36&searchRank=78&rank=78,78,반찬,곰곰,"곰곰이네김치 국산 저염 당일제조 한입쏙 맛김치, 2kg, 1개",29.0,14710,1999,736,99,4.09
296139681,https://www.coupang.com/vp/products/296139681?itemId=933683233&vendorItemId=5313874154&pickType=COU_PICK&q=%EA%B3%B0%EA%B3%B0%20%EA%B5%AD&searchId=3cce8418765991&sourceType=search&itemsCount=36&searchRank=0&rank=0,1,국,곰곰,"곰곰 더 오리지널 부대찌개, 1kg, 2개",35.0,12990,1998,650,"103,077",4.69
187491448,https://www.coupang.com/vp/products/187491448?itemId=1047437198&vendorItemId=5510901600&q=%EA%B3%B0%EA%B3%B0%20%EA%B5%AD&searchId=3cce8418765991&sourceType=search&itemsCount=36&searchRank=1&rank=1,2,국,곰곰,"곰곰 더 진한 갈비탕 (냉동), 600g, 4개",30.0,17990,2399,750,"142,310",4.56
187491459,https://www.coupang.com/vp/products/187491459?itemId=535867455&vendorItemId=5016395893&q=%EA%B3%B0%EA%B3%B0%20%EA%B5%AD&searchId=3cce8418765991&sourceType=search&itemsCount=36&searchRank=2&rank=2,3,국,곰곰,"곰곰 정통 순대국(냉동), 600g, 5개",34.0,17990,2998,600,"48,560",4.69
343881608,https://www.coupang.com/vp/products/343881608?itemId=23518263516&vendorItemId=90544636612&q=%EA%B3%B0%EA%B3%B0%20%EA%B5%AD&searchId=3cce8418765991&sourceType=search&itemsCount=36&searchRank=6&rank=6,7,국,곰곰,"곰곰 육개장 (냉동), 600g, 2개",43.0,6750,1199,563,"41,509",4.68
295408408,https://www.coupang.com/vp/products/295408408?itemId=932501644&vendorItemId=5310111308&q=%EA%B3%B0%EA%B3%B0%20%EA%B5%AD&searchId=3cce8418765991&sourceType=search&itemsCount=36&searchRank=7&rank=7,8,국,곰곰,"곰곰 고기곰탕 (냉동), 500g, 4개",,14370,1999,719,"14,257",4.51
6257057899,https://www.coupang.com/vp/products/6257057899?itemId=12717851186&vendorItemId=79984560100&q=%EA%B3%B0%EA%B3%B0%20%EA%B5%AD&searchId=3cce8418765991&sourceType=search&itemsCount=36&searchRank=8&rank=8,9,국,곰곰,"곰곰 얼큰 순대국 (냉동), 700g, 3개",8.0,15990,2101,761,"17,525",4.71
6257057908,https://www.coupang.com/vp/products/6257057908?itemId=27127297428&vendorItemId=94095314607&q=%EA%B3%B0%EA%B3%B0%20%EA%B5%AD&searchId=3cce8418765991&sourceType=search&itemsCount=36&searchRank=10&rank=10,11,국,곰곰,곰곰 돼지고기 김치찌개 (냉동),34.0,5190,650,798,"2,116",4.68
8134938737,https://www.coupang.com/vp/products/8134938737?itemId=23106904242&vendorItemId=90140190017&q=%EA%B3%B0%EA%B3%B0%20%EA%B5%AD&searchId=3cce8418765991&sourceType=search&itemsCount=36&searchRank=11&rank=11,12,국,곰곰,"곰곰 진한 순살 감자탕 (냉동), 600g, 1개",32.0,6650,600,1108,"2,742",4.69
8566963910,https://www.coupang.com/vp/products/8566963910?itemId=25129968011&vendorItemId=92129105051&q=%EA%B3%B0%EA%B3%B0%20%EA%B5%AD&searchId=3cce8418765991&sourceType=search&itemsCount=36&searchRank=13&rank=13,14,국,곰곰,곰곰 양평식 해장국 (냉동),33.0,10470,1400,748,970,4.73
8487615249,https://www.coupang.com/vp/products/8487615249?itemId=24917119816&vendorItemId=91923464389&q=%EA%B3%B0%EA%B3%B0%20%EA%B5%AD&searchId=3cce8418765991&sourceType=search&itemsCount=36&searchRank=14&rank=14,15,국,곰곰,"곰곰 제대로 만든 병천식 얼큰순대국, 500g, 2개",27.0,7740,1000,774,"1,957",4.22
