상품ID,컬리상품ID,브랜드,순위,분류,상품명,할인율,할인가,총용량(g),단위가격(100g),리뷰수,평균별점
12273075217,5053329,kurly's,1,국·반찬·메인요리,[Kurly's] 국산콩 두부 300g,15,1870,300.0,8727.0,7720.0,4.88
12273087761,5118044,kurly's,2,국·반찬·메인요리,[Kurly's] 국산콩 두부 500g,15,2720,500.0,7616.0,15273.0,4.87
12273087617,5118043,kurly's,3,국·반찬·메인요리,[Kurly's] 국산콩 2컵두부 (150g*2컵),15,2125,150.0,19833.0,4219.0,4.91
12273082214,5075513,kurly's,4,국·반찬·메인요리,[Kurly's] 탱글탱글 국탕용 종합 어묵,15,3825,426.0,12570.0,2454.0,4.83
12273080889,5070786,kurly's,5,국·반찬·메인요리,[Kurly's] 쫄깃쫄깃 사각 어묵,15,2720,350.0,10880.0,897.0,4.86
12274470853,5062127,kurly's,6,국·반찬·메인요리,[Kurly's] 계란옷 입은 고기완자 500g,10,6500,500.0,11700.0,698.0,4.88
12274470853,5062127,kurly's,6,국·반찬·메인요리,[Kurly's] 계란옷 입은 고기완자 500g,10,6500,500.0,11700.0,698.0,4.88
12273074861,5052741,kurly's,7,국·반찬·메인요리,[Kurly's] 동물복지 비빔 반숙 계란장 매운맛,0,7500,600.0,1250.0,898.0,4.89
12273075224,1001317137,kurly's,8,국·반찬·메인요리,[Kurly's] 국산콩 두부 3종 (택1),15,1870,,,147.0,4.84
12274373440,5054960,kurly's,9,국·반찬·메인요리,"[Kurly's] 간편하게 바삭, 통등심 돈까스",12,5700,270.0,23222.0,223.0,4.85
12274373440,5054960,kurly's,9,국·반찬·메인요리,"[Kurly's] 간편하게 바삭, 통등심 돈까스",12,5700,270.0,23222.0,223.0,4.85
12274373440,5054960,kurly's,9,국·반찬·메인요리,"[Kurly's] 간편하게 바삭, 통등심 돈까스",12,5700,270.0,23222.0,223.0,4.85
12274473046,5063827,kurly's,10,국·반찬·메인요리,[Kurly's] 시원한 배추김치 1.5kg,0,16300,,,839.0,4.7
12273074831,5052740,kurly's,11,국·반찬·메인요리,[Kurly's] 동물복지 비빔 반숙 계란장 순한맛,5,7125,600.0,4750.0,466.0,4.88
12274496369,5097299,kurly's,12,국·반찬·메인요리,[Kurly's] 감칠맛 볶음김치,0,3400,200.0,1700.0,129.0,4.71
13159353301,1001986025,kurly's,13,국·반찬·메인요리,[Kurly's] 유기농 두부 300g,10,1692,300.0,5076.0,5.0,4.8
13159387484,1001986027,kurly's,14,국·반찬·메인요리,[Kurly's] 유기농 2컵 두부 (300g*2컵),10,2682,600.0,4023.0,12.0,4.92
12274539773,5161571,kurly's,15,국·반찬·메인요리,"동해물, 우리콩 두부 380g (2개입)",0,7900,380.0,2079.0,21.0,4.9
12275357774,5156417,kurly's,16,국·반찬·메인요리,[Kurly's] 알싸한 갓김치,0,10120,700.0,1446.0,63.0,4.78
12274694962,1001309806,kurly's,17,국·반찬·메인요리,[Kurly's] 시원한 배추김치 4kg,0,41700,,,31.0,4.55
12274483527,5072582,kurly's,1,간편식·밀키트·샐러드,[Kurly's] 샌드위치용 달걀듬뿍 샐러드 500g,15,6290,500.0,17612.0,3143.0,4.85
12274641268,5068190,kurly's,2,간편식·밀키트·샐러드,"[Kurly's] 김치 왕만두 (1,050g/지퍼백)",15,8925,,,19140.0,4.89
12972868569,5072583,kurly's,3,간편식·밀키트·샐러드,[Kurly's] 샌드위치용 달걀감자 샐러드 500g,15,6290,500.0,17612.0,1180.0,4.87
12274641268,5068189,kurly's,4,간편식·밀키트·샐러드,"[Kurly's] 고기 왕만두 (1,050g/지퍼백)",15,8755,,,19140.0,4.89
12274377020,5057159,kurly's,5,간편식·밀키트·샐러드,"[Kurly's] 간편하게 바삭, 새우까스",15,5780,200.0,40460.0,554.0,4.84
12274372458,5054455,kurly's,6,간편식·밀키트·샐러드,[Kurly's] 물만두,15,7820,800.0,13685.0,517.0,4.86
12274373440,5054960,kurly's,7,간편식·밀키트·샐러드,"[Kurly's] 간편하게 바삭, 통등심 돈까스",12,5700,270.0,23222.0,223.0,4.85
12274373440,5054960,kurly's,7,간편식·밀키트·샐러드,"[Kurly's] 간편하게 바삭, 통등심 돈까스",12,5700,270.0,23222.0,223.0,4.85
12274373440,5054960,kurly's,7,간편식·밀키트·샐러드,"[Kurly's] 간편하게 바삭, 통등심 돈까스",12,5700,270.0,23222.0,223.0,4.85
12273030230,1000118012,kurly's,8,간편식·밀키트·샐러드,[Kurly's] 데일리 그래놀라 3종 (택1),16,7480,200.0,56100.0,559.0,4.83
12274473310,5064015,kurly's,9,간편식·밀키트·샐러드,"[Kurly's] 간편하게 바삭, 야채 김말이",10,3510,300.0,10530.0,413.0,4.82
12333904849,5064016,kurly's,10,간편식·밀키트·샐러드,"[Kurly's] 간편하게 바삭, 고추 김말이",0,3900,300.0,1300.0,574.0,4.86
12972868569,1001695452,kurly's,11,간편식·밀키트·샐러드,[Kurly's] 샌드위치용 달걀 참치 샐러드 500g,0,7980,500.0,1596.0,1180.0,4.87
12274468930,5061036,kurly's,1,수산·해산·건어물,[Kurly's] 바삭하게 구운 김밥김 22g,31,2690,22.0,366818.0,630.0,4.74
12274484323,5073787,kurly's,2,수산·해산·건어물,[Kurly's] 바삭하게 볶은 돌김자반 35g,31,1990,35.0,170571.0,102.0,4.86
12274668708,1001102487,kurly's,3,수산·해산·건어물,[Kurly's] 순살 생선 4종 (택1),22,10750,,,319.0,4.86
12274364962,5050925,kurly's,1,면·양념·오일,[Kurly's] 한우 사골육수,0,4480,,,686.0,4.86
12844358168,5093929,kurly's,2,면·양념·오일,[Kurly's] 한돈 삼겹 베이컨,11,4800,100.0,48000.0,467.0,4.89
12844358168,5093929,kurly's,2,면·양념·오일,[Kurly's] 한돈 삼겹 베이컨,11,4800,100.0,48000.0,467.0,4.89
12274374585,5055496,kurly's,3,면·양념·오일,[Kurly's] 돈육햄 200g,12,3480,200.0,19140.0,157.0,4.91
12273074949,5052922,kurly's,1,베이커리,[Kurly's] R15 통밀 식빵 420g,0,3980,420.0,948.0,5413.0,4.84
12274369365,5053178,kurly's,2,베이커리,[Kurly's] R15 통밀 모닝롤 (28g X 8개입),0,3990,224.0,1781.0,1001.0,4.83
12957084784,1001085121,kurly's,3,베이커리,[Kurly's] 쫀득한 베이글(플레인)(115gX5개),20,8330,115.0,137626.0,319.0,4.86
12275332931,1001207466,차려낸,1,간편식·밀키트·샐러드,[차려낸] 햄 가득 송탄식 부대찌개,25,11900,,,9338.0,4.86
12284653937,1001502057,차려낸,2,간편식·밀키트·샐러드,[차려낸] 대파 풍미를 더한 새우볶음밥 (4개입),15,9260,920.0,14091.0,6737.0,4.85
12274712564,1001401863,차려낸,3,간편식·밀키트·샐러드,[차려낸] 국산 김치로 만든 김치볶음밥 (4개입),15,8070,920.0,12280.0,3149.0,4.85
12332462290,1001529704,차려낸,4,간편식·밀키트·샐러드,[차려낸] 바삭한 국내산 안심 치킨텐더,30,6900,500.0,40020.0,7613.0,4.85
12564024199,1001606890,차려낸,5,간편식·밀키트·샐러드,[차려낸] 국물이 시원한 바지락 칼국수(4인분),25,11900,,,2212.0,4.86
